DATE,DGS2
31/10/2022,4.51
01/11/2022,4.54
02/11/2022,4.61
03/11/2022,4.71
04/11/2022,4.66
07/11/2022,4.72
08/11/2022,4.67
09/11/2022,4.61
10/11/2022,4.34
14/11/2022,4.4
15/11/2022,4.37
16/11/2022,4.35
17/11/2022,4.43
18/11/2022,4.51
21/11/2022,4.48
22/11/2022,4.47
23/11/2022,4.46
25/11/2022,4.42
28/11/2022,4.46
29/11/2022,4.48
30/11/2022,4.38
01/12/2022,4.25
02/12/2022,4.28
05/12/2022,4.41
06/12/2022,4.34
07/12/2022,4.26
08/12/2022,4.31
09/12/2022,4.33
12/12/2022,4.39
13/12/2022,4.22
14/12/2022,4.23
15/12/2022,4.23
16/12/2022,4.17
19/12/2022,4.25
20/12/2022,4.25
21/12/2022,4.21
22/12/2022,4.24
23/12/2022,4.31
27/12/2022,4.32
28/12/2022,4.31
29/12/2022,4.34
30/12/2022,4.41
03/01/2023,4.4
04/01/2023,4.36
05/01/2023,4.45
06/01/2023,4.24
09/01/2023,4.19
10/01/2023,4.24
11/01/2023,4.2
12/01/2023,4.12
13/01/2023,4.22
17/01/2023,4.18
18/01/2023,4.06
19/01/2023,4.09
20/01/2023,4.14
23/01/2023,4.21
24/01/2023,4.12
25/01/2023,4.11
26/01/2023,4.17
27/01/2023,4.19
30/01/2023,4.25
31/01/2023,4.21
01/02/2023,4.09
02/02/2023,4.09
03/02/2023,4.3
06/02/2023,4.44
07/02/2023,4.47
08/02/2023,4.45
09/02/2023,4.48
10/02/2023,4.5
13/02/2023,4.52
14/02/2023,4.6
15/02/2023,4.62
16/02/2023,4.62
17/02/2023,4.6
21/02/2023,4.67
22/02/2023,4.66
23/02/2023,4.66
24/02/2023,4.78
27/02/2023,4.78
28/02/2023,4.81
01/03/2023,4.89
02/03/2023,4.89
03/03/2023,4.86
06/03/2023,4.89
07/03/2023,5
08/03/2023,5.05
09/03/2023,4.9
10/03/2023,4.6
13/03/2023,4.03
14/03/2023,4.2
15/03/2023,3.93
16/03/2023,4.14
17/03/2023,3.81
20/03/2023,3.92
21/03/2023,4.17
22/03/2023,3.96
23/03/2023,3.76
24/03/2023,3.76
27/03/2023,3.94
28/03/2023,4.02
29/03/2023,4.08
30/03/2023,4.1
