Date,DXY_R
10/27/2016,0.002636135
10/28/2016,-0.005460623
10/31/2016,0.001016767
11/1/2016,-0.00761808
11/2/2016,-0.003070573
11/3/2016,-0.002464045
11/4/2016,-0.000926348
11/7/2016,0.007314299
11/8/2016,0.000818184
11/9/2016,0.006539945
11/10/2016,0.002944173
11/14/2016,0.013361676
11/15/2016,0.000799131
11/16/2016,0.002195848
11/17/2016,0.00478035
11/18/2016,0.003171771
11/21/2016,-0.001580832
11/22/2016,-9.89807E-05
11/23/2016,0.006532027
11/25/2016,-0.002064887
11/28/2016,-0.001576471
11/29/2016,-0.003947518
11/30/2016,0.005647478
12/1/2016,-0.00453201
12/2/2016,-0.002672249
12/5/2016,-0.006251841
12/6/2016,0.003495097
12/7/2016,-0.002587272
12/8/2016,0.008380694
12/9/2016,0.004947066
12/12/2016,-0.00600572
12/13/2016,0.000693344
12/14/2016,0.009601119
12/15/2016,0.011078402
12/16/2016,-0.00174537
12/19/2016,0.001845576
12/20/2016,0.001454353
12/21/2016,-0.002614038
12/22/2016,0.00067947
12/23/2016,-0.000775963
12/27/2016,9.70294E-05
12/28/2016,0.002329693
12/29/2016,-0.005616909
12/30/2016,-0.002824318
1/3/2017,0.008008595
1/4/2017,-0.004941401
1/5/2017,-0.011489776
1/6/2017,0.006895233
1/9/2017,-0.002837028
1/10/2017,0.000784872
1/11/2017,-0.00225471
1/12/2017,-0.004224808
1/13/2017,-0.001677336
1/17/2017,-0.00840085
1/18/2017,0.005980245
1/19/2017,0.002179748
1/20/2017,-0.004053426
1/23/2017,-0.005757336
1/24/2017,0.001896905
1/25/2017,-0.003188829
1/26/2017,0.00349893
1/27/2017,0.001494342
1/30/2017,-0.000994718
1/31/2017,-0.009160589
2/1/2017,0.001306371
2/2/2017,0.002107577
2/3/2017,0.000200351
2/6/2017,0.000400531
2/7/2017,0.003503133
2/8/2017,0.000199451
2/9/2017,0.003689699
2/10/2017,0.001490323
2/13/2017,0.001587262
2/14/2017,0.002872435
2/15/2017,-0.000691358
2/16/2017,-0.007313679
2/17/2017,0.005077608
2/21/2017,0.004160535
2/22/2017,-0.000394604
2/23/2017,-0.002763239
2/24/2017,0.000395774
2/27/2017,0.000395697
2/28/2017,-9.88233E-05
3/1/2017,0.006526859
3/2/2017,0.004126528
3/3/2017,-0.006457887
3/6/2017,0.000984814
3/7/2017,0.00167256
3/8/2017,0.002553796
3/9/2017,-0.002155403
3/10/2017,-0.005890997
3/13/2017,0.001283921
3/14/2017,0.003156441
3/15/2017,-0.009439518
3/16/2017,-0.004665486
3/17/2017,0.000299252
3/20/2017,0.00109672
3/21/2017,-0.00597556
3/22/2017,-0.001302455
3/23/2017,0.000802588
3/24/2017,-0.001303178
3/27/2017,-0.004617073
3/28/2017,0.005445205
3/29/2017,0.002908445
3/30/2017,0.00410004
3/31/2017,-0.00059761
4/3/2017,0.001893403
4/4/2017,0
4/5/2017,0.000198896
4/6/2017,0.001093874
